상품주문번호,주문번호,구매확정일,판매채널,구매자ID,발송처리일,배송완료일,상품명,옵션정보,수량,상품가격,최종 상품별 할인액,최종 상품별 총 주문금액,결제일,결제수단,결제위치,주문 유입경로
2025072332779821,2025072365070001,2025.08.06 00:40,스마트스토어,sh*********,2025.07.25 22:02,2025.07.29 15:10,청도 랑그드샤 9개입 수제 디저트 답례품 2종,상품선택: 청도랑그드샤 피스타치오 1box,1,"\12,500","\2,000","\10,500",2025.07.23 22:08,머니결제,MOBILE,검색>쇼핑검색(네이버쇼핑)
2025072332779811,2025072365070001,2025.08.06 00:40,스마트스토어,sh*********,2025.07.25 22:02,2025.07.29 15:10,청도 랑그드샤 9개입 수제 디저트 답례품 2종,상품선택: 청도랑그드샤 다크초콜릿 1box,1,"\12,500","\2,000","\10,500",2025.07.23 22:08,머니결제,MOBILE,검색>쇼핑검색(네이버쇼핑)
2025072580297711,2025072597196271,2025.08.06 00:39,스마트스토어,ag*****,2025.07.25 22:02,2025.07.29 22:16,청도 랑그드샤 9개입 수제 디저트 답례품 2종,상품선택: 청도랑그드샤 피스타치오 1box,3,"\12,500","\6,000","\31,500",2025.07.25 09:56,머니결제,MOBILE,검색>쇼핑검색(네이버쇼핑)
2025072580297701,2025072597196271,2025.08.06 00:39,스마트스토어,ag*****,2025.07.25 22:02,2025.07.29 22:16,청도 랑그드샤 9개입 수제 디저트 답례품 2종,상품선택: 청도랑그드샤 다크초콜릿 1box,3,"\12,500","\6,000","\31,500",2025.07.25 09:56,머니결제,MOBILE,검색>쇼핑검색(네이버쇼핑)
2025071960756351,2025071952332381,2025.08.02 00:54,스마트스토어,as********,2025.07.23 23:04,2025.07.25 11:13,청도 랑그드샤 9개입 수제 디저트 답례품 2종,상품선택: 청도랑그드샤 피스타치오 1box,1,"\12,500","\2,000","\10,500",2025.07.19 18:54,신용카드 간편결제,MOBILE,네이버쇼핑 외
2025071960756341,2025071952332381,2025.08.02 00:54,스마트스토어,as********,2025.07.23 23:04,2025.07.25 11:13,청도 랑그드샤 9개입 수제 디저트 답례품 2종,상품선택: 청도랑그드샤 다크초콜릿 1box,1,"\12,500","\2,000","\10,500",2025.07.19 18:54,신용카드 간편결제,MOBILE,네이버쇼핑 외
