timestamp,q1_awareness_rangdosha,q2_satisfaction_pistachio,q2_1_reason_pistachio,q3_satisfaction_darkhazelnut,q3_1_reason_darkhazelnut,q4_preferred_flavor,q5_expression_rangdosha,q6_opinion_date_topping,q7_opinion_local_story,q8_satisfaction_package,q9_opinion_leaflet,q10_package_identification,q10_1_reason_package_identification,q11_price_opinion,q11_1_price_expectation,q12_purchase_intent,q13_gender,q14_age_group,q15_additional_comment
2025/05/15 1:40:59 오후 GMT+9,"아니요, 처음 들어봅니다.",,,5,너무 달지 않고 딱 적당히 맛있어요!,,선물용으로 적합한 프리미엄 디저트;간편하게 즐길 수 있는 디저트,"신선하고 독특하다, 좋았다","괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,제품을 이해하는데 도움이 된다,4,,1,8000,선물용으로 고려 중이다,남,20~30대,
2025/05/15 1:53:59 오후 GMT+9,"아니요, 처음 들어봅니다.",5,달콤쌉쌀해서 좋았어요.식감도 다양해서 좋아요!,,,,전통과 현대가 조화된 창의적인 디저트;선물용으로 적합한 프리미엄 디저트;간편하게 즐길 수 있는 디저트;청도 지역 특산물의 맛을 살린 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,심미적으로 좋다,3,,3,,선물용으로 고려 중이다,여,20~30대,
2025/05/15 2:14:58 오후 GMT+9,"네, 알고 있습니다.",,,4,,,전통과 현대가 조화된 창의적인 디저트;선물용으로 적합한 프리미엄 디저트;청도 지역 특산물의 맛을 살린 디저트,대추 토핑 맛이 느껴지지 않았다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",5,제품을 이해하는데 도움이 된다;심미적으로 좋다,4,,3,,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,
2025/05/15 2:41:04 오후 GMT+9,"네, 알고 있습니다.",1,싫어요,1,별로,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,1,"귀찮다, 인상 깊지 않다",3,보통,1,아뇹,바로 구매하고 싶다,여,10대,없움
2025/05/15 3:05:53 오후 GMT+9,"네, 알고 있습니다.",5,,5,,피스타치오,선물용으로 적합한 프리미엄 디저트;간편하게 즐길 수 있는 디저트,대추와 랑그드샤가 조화롭지 못하다,큰 매력을 느끼지 못했다,3,"귀찮다, 인상 깊지 않다",1,,1,,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,
2025/05/15 3:05:53 오후 GMT+9,"아니요, 처음 들어봅니다.",4,,5,,다크 헤이즐넛,선물용으로 적합한 프리미엄 디저트;간편하게 즐길 수 있는 디저트,특별하긴 했으나 조금 낯설었다,큰 매력을 느끼지 못했다,4,제품을 이해하는데 도움이 된다,4,,2,,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,
2025/05/15 3:08:33 오후 GMT+9,"네, 알고 있습니다.",4,,,,,선물용으로 적합한 프리미엄 디저트;청도 지역 특산물의 맛을 살린 디저트,"신선하고 독특하다, 좋았다","괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",3,설명이 부족하다;심미적으로 좋다,2,,3,,맛있긴 했지만 조금 더 고민해볼 것 같다,남,20~30대,
2025/05/15 3:15:05 오후 GMT+9,"아니요, 처음 들어봅니다.",5,,,,,간편하게 즐길 수 있는 디저트;청도 지역 특산물의 맛을 살린 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다,4,,4,,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,
2025/05/15 3:15:11 오후 GMT+9,"네, 알고 있습니다.",5,,,,,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,대추 토핑 맛이 느껴지지 않았다,지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다,2,,2,8000,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,
2025/05/15 3:25:49 오후 GMT+9,"네, 알고 있습니다.",4,,,,피스타치오,전통과 현대가 조화된 창의적인 디저트,특별하긴 했으나 조금 낯설었다,지역 특산물을 현대적으로 잘 살린 것 같다,4,제품을 이해하는데 도움이 된다,2,,3,,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,
2025/05/15 3:28:12 오후 GMT+9,"네, 알고 있습니다.",,,4,대추가 조금 쓴 맛이 난다,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,대추와 랑그드샤가 조화롭지 못하다,약간 조화되지 못한 느낌,5,제품을 이해하는데 도움이 된다;심미적으로 좋다,2,박스에서 크게 티가 안남,3,,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,
2025/05/15 4:41:25 오후 GMT+9,"네, 알고 있습니다.",5,,,,,선물용으로 적합한 프리미엄 디저트,대추와 랑그드샤가 조화롭지 못하다,지역 특산물을 현대적으로 잘 살린 것 같다,3,설명이 부족하다,2,,4,,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,
2025/05/15 4:46:50 오후 GMT+9,"네, 알고 있습니다.",,,4,버터가 적당히 들어간 것 같아서 부드러움과 바삭함이 잘 유지되는 것이 잘 느껴짐,,선물용으로 적합한 프리미엄 디저트;청도 지역 특산물의 맛을 살린 디저트,대추 토핑 맛이 느껴지지 않았다,"괜찮았지만, 좀 더 알기 쉽게 강조되면 좋겠다",4,불필요하다,2,,2,7~8천원,맛있긴 했지만 조금 더 고민해볼 것 같다,남,20~30대,
2025/05/15 4:47:46 오후 GMT+9,"아니요, 처음 들어봅니다.",5,,5,달달하지만 너무 달지 않아서,,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,4,제품을 이해하는데 도움이 된다,4,,2,"9,900 원",선물용으로 고려 중이다,남,20~30대,
2025/05/15 5:28:30 오후 GMT+9,"아니요, 처음 들어봅니다.",3,맛을 본 적이 없어요.,4,맛있어요. 근데 막 엄청 놀라운 맛은 아니고 평범하게 잘 맛있는 것 같아요.,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,3,예상치 못했다,2,모르겠어요,2,9900원,맛있긴 했지만 조금 더 고민해볼 것 같다,여,,감사합니다
2025/05/15 5:32:18 오후 GMT+9,"네, 알고 있습니다.",,,5,안에 초코와 쿠키가 넘 잘 어울려요,,선물용으로 적합한 프리미엄 디저트;청도 지역 특산물의 맛을 살린 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다,1,잘 안 보였다,4,,선물용으로 고려 중이다,여,20~30대,
2025/05/15 5:38:04 오후 GMT+9,"네, 알고 있습니다.",5,,5,단 초코도 별로 안 좋아하고 쓴 초코도 별로 안 좋아 하는데 이건 텍스처랑 맛 둘 다 완벽합니다 ..,다크 헤이즐넛,간편하게 즐길 수 있는 디저트;청도 지역 특산물의 맛을 살린 디저트,"신선하고 독특하다, 좋았다",큰 매력을 느끼지 못했다,4,제품을 이해하는데 도움이 된다;심미적으로 좋다,2,다크 초코라고 해서 색이 눈에 띄게 진할 거라 생각했는데 주황빛이라 쉽게 구분하지 못했다.,3,"10,000원",맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,랑그드샤 자체가 너무 맛있는데 얇아서(특히 가장자리가 얇아서)선물용으로 적합한 고급미가 부족한 거 같다
2025/05/15 5:47:03 오후 GMT+9,"네, 알고 있습니다.",,,4,맛있는데 가격대비 별로,,트렌디하고 인스타그램에 잘 어울리는 디저트;청도 지역 특산물의 맛을 살린 디저트,대추 토핑 맛이 느껴지지 않았다,큰 매력을 느끼지 못했다,5,설명이 부족하다;설명 용지 재질이 적절하지 않는 것 같다;예상치 못했다,3,,1,8천원 이상이면 안 살 것 같아요,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,
2025/05/15 6:01:10 오후 GMT+9,"아니요, 처음 들어봅니다.",,,4,안에 크림이 맛있고 바깥 쿠키가 맛있다,다크 헤이즐넛,전통과 현대가 조화된 창의적인 디저트,특별하긴 했으나 조금 낯설었다,지역 특산물을 현대적으로 잘 살린 것 같다,4,예상치 못했다;불필요하다,3,,3,,맛있긴 했지만 조금 더 고민해볼 것 같다,남,20~30대,
2025/05/15 6:01:49 오후 GMT+9,"아니요, 처음 들어봅니다.",,,5,,다크 헤이즐넛,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,특별하긴 했으나 조금 낯설었다,지역 특산물을 현대적으로 잘 살린 것 같다,5,제품을 이해하는데 도움이 된다,5,,5,,바로 구매하고 싶다,남,20~30대,
2025/05/16 11:15:17 오전 GMT+9,"아니요, 처음 들어봅니다.",4,,4,,,트렌디하고 인스타그램에 잘 어울리는 디저트;선물용으로 적합한 프리미엄 디저트,대추 토핑 맛이 느껴지지 않았다,"청도 특산품이라는 타이틀이 메인인 만큼, 대추 맛이 더 잘 느껴지게 하고 대추도 더 많이 들어갔으면 좋겠어요. 안에 크림?은 맛있었는데 밖에 과자가 조금 밋밋한 거 같아서 좀만 더 달달하게 하면 좋을 거 같아요(이건 그냥 제 의견이고 개인 취향이라는 거 감안해 주세요). ",4,제품을 이해하는데 도움이 된다;심미적으로 좋다;설명이 딱 적당한 거 같아요 너무 길면 읽기도 귀찮으니까요!,1,솔직히 지금도 제가 먹은 게 무슨 맛인지 모르겠어요.. 무슨 맛인지는 구별하기 힘든 거 같아요,2,10개를 지금 가격에 판매하는 게 좋을 거 같아요,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,
2025/05/19 12:06:37 오후 GMT+9,"네, 알고 있습니다.",5,맛있음,5,맛있음,다크 헤이즐넛,선물용으로 적합한 프리미엄 디저트,"신선하고 독특하다, 좋았다",지역 특산물을 현대적으로 잘 살린 것 같다,5,보지 못함,3,상자포장은 못봤음,3,9900원,맛있긴 했지만 조금 더 고민해볼 것 같다,여,20~30대,패키지가 귀엽고 예뻐요!
